sku,qty,disco
AE-LQ-5652,0,T
AE-LQ-5669,0,T
AE-LQ-5676,0,T
AE-LQ-5683,0,T
AE-LQ-5690,0,T
AE-LQ-5706,0,T
AE-LQ-6000,0,T
AE-LQ-6017,0,T
AE-LQ-6024,0,T
AE-LQ-6031,0,T
AE-LQ-6406,0,T
AE-LQ-6956,0,T
AE-LQ-6994-2,0,T
AE-LQ-7076,0,T
AE-LQ-7137-2,0,T
AE-LQ-7243,0,T
AE-LQ-7250,0,T
AE-LQ-7854,0,T
AE-LQ-7878,0,T
AE-LQ-7885,0,T
AE-LQ-7908,0,T
AE-LQ-7939,0,T
AE-LQ-7946,0,T
AE-LQ-7953,0,T
AE-LQ-7960,0,T
AE-LQ-7984,0,T
AE-LQ-8899-2,0,T
AE-LQ-9247-2,0,T
AE-MM-7007-2,0,T
AE-MM-8691-2,0,T
AE-MS-7816,0,T
AE-NC-7755-2,0,T
AE-PP-7786-2,0,T
AE-PP-7793-2,0,T
AE-RD-6987-2,0,T
AE-SA-3894,0,T
AE-SA-3900,0,T
AE-VB-7458,0,T
AE-VB-7830,0,T
AE-VB-8042-2,0,T
AE-WF-8295-2,0,T
AE-WF-8530-2,0,T
AE-WF-8554-2,0,T
AE-WF-8714-2,0,T
AE-WF-8806-2,0,T
AE-WF-8844-2,0,T
AE-WF-8851-2,0,T
AE-WF-8875-2,0,T
AE-WF-8882-2,0,T
AE-WF-8905-2,0,T
AE-WF-9063-2,0,T
AE-WF-9186-2,0,T
AE-WF-9315-2,0,T
AE-WF-9322-2,0,T
AE-WF-9339-2,0,T
AE-WF-9346-2,0,T
AI-301063,0,T
AI-531064,0,T
AI-535062,0,T
AI-557866,0,F
AI-602061,0,T
AI-603068,0,T
AI-605062,0,T
AI-606069,0,T
AI-607066,0,T
AI-608063,0,T
AI-609060,0,T
AI-610066,0,T
AI-611063,0,T
AI-612060,0,T
AI-613067,0,T
AI-614064,0,T
AI-615061,0,T
AI-616068,0,T
AI-617065,0,T
AI-618062,0,T
AI-619069,0,T
AI-620065,0,T
AI-623066,0,T
AI-624063,0,T
AI-625060,0,T
AI-626067,0,T
AI-627064,0,T
AI-628061,0,T
AI-629068,0,T
AI-640063,0,T
AI-641060,0,T
AI-645068,0,T
AI-646065,0,T
AI-647062,0,T
AI-648069,0,T
AI-649066,0,T
AI-650062,0,T
AI-651069,0,T
AI-652066,0,T
AI-653063,0,T
AI-655067,0,T
AI-656064,0,T
AI-657061,0,T
AI-658068,0,T
AI-659065,0,T
AI-671067,0,T
AI-672064,0,T
AI-690068,0,T
AI-842061,0,T
AI-843068,0,T
AI-844065,0,T
AI-845062,0,T
AI-846069,0,T
AI-921063,0,T
AI-922060,0,T
AI-923067,0,T
AI-924064,0,T
AI-925061,0,T
AI-926068,0,T
ALL-010070,0,T
ALL-010834,0,T
ALL-010872,0,T
ALL-010896,0,T
ALL-010902,0,T
ALL-010919,0,T
ALL-010926,0,T
ALL-010933,0,T
ALL-010940,0,T
ALL-010964,0,T
ALL-011022,0,T
ALL-011077,0,T
ALL-011107,0,T
ALL-011114,0,T
ALL-011121,0,T
ALL-011152,0,T
ALL-011169,0,T
ALL-011176,0,T
ALL-011183,14,F
ALL-011190,0,T
ALL-011213,0,T
ALL-011220,0,T
ALL-011237,0,T
ALL-011244,0,T
ALL-011251,0,T
ALL-011268,0,T
ALL-011275,0,T
ALL-011282,0,T
ALL-011299,0,T
ALL-011305,0,T
ALL-011336,0,T
ALL-011350,5,T
ALL-011367,1,F
ALL-011404,0,T
ALL-011411,4,F
ALL-011428,0,T
ALL-021007,0,T
ALL-128256,0,T
ALL-211071,0,T
ALL-220175,0,T
ALL-230372,0,T
ALL-241030,0,T
ALL-246066,0,T
ALL-280773,0,T
ALL-300034,0,T
ALL-300157,0,T
ALL-300171,0,T
ALL-300195,0,T
ALL-300584,0,T
ALL-300751,0,T
ALL-300799,0,T
ALL-300836,0,T
ALL-300850,0,T
ALL-300928,0,T
ALL-300935,0,T
ALL-300973,0,T
ALL-300980,0,T
ALL-300997,0,T
ALL-301024,0,T
ALL-301055,0,T
ALL-301123,0,T
ALL-301147,0,T
ALL-301185,0,T
ALL-460578,0,T
ALL-460776,0,T
ALL-508829,0,T
ALL-508836,0,T
ALL-508850,0,T
ALL-508867,0,T
ALL-508874,0,T
ALL-508881,0,T
ALL-508898,0,T
ALL-508904,0,T
ALL-508911,0,T
ALL-508928,0,T
ALL-508935,0,T
ALL-508942,0,T
ALL-508959,0,T
ALL-508966,0,T
ALL-509499,0,T
ALL-509512,0,T
ALL-509529,0,T
ALL-509567,0,T
ALL-509581,0,T
ALL-509598,0,T
ALL-900951,0,T
ALL-900975,0,T
ALL-900982,0,T
ALL-900999,0,T
ALL-901002,0,T
ALL-901019,0,T
ALL-901026,0,T
ALL-901033,0,T
ALL-901040,0,T
ALL-901057,0,T
ALL-901064,0,T
ALL-901101,0,T
ALL-901118,0,T
ALL-901132,0,T
ALL-901156,0,T
ALL-901163,0,T
ALL-901170,0,T
ALL-901187,0,T
ALL-901194,0,T
ALL-901200,0,T
ALL-901217,0,T
ALL-901224,0,T
ALL-901231,0,T
ALL-901255,0,T
ALL-901262,0,T
ALL-901279,0,T
ALL-901286,0,T
ALL-901293,0,T
ALL-901309,0,T
ALL-901316,0,T
ALL-901323,0,T
ALL-901347,0,T
ALL-901354,0,T
ALL-901439,0,F
ALL-902870,0,T
ALL-902887,0,T
ALL-902900,0,T
ALL-902917,0,T
ALL-902924,0,T
ALL-902931,0,T
ALL-902948,0,T
ALL-902955,0,T
ALL-902962,0,T
ALL-902979,0,T
ALL-902986,0,T
ALL-902993,0,T
ALL-903006,0,T
ALL-903013,0,T
ALL-903020,0,T
ALL-903037,0,T
ALL-903044,0,T
ALL-903051,0,T
ALL-903068,0,T
ALL-903075,0,T
ALL-903082,0,T
ALL-903105,0,T
ALL-903112,0,T
ALL-903129,0,T
ALL-903136,0,T
ALL-903150,0,T
ALL-903167,0,T
ALL-903198,0,T
ALL-903204,0,T
ALL-903211,0,T
ALL-903228,0,T
ALL-903235,0,T
ALL-903242,0,T
ALL-903273,0,T
ALL-903280,0,T
ALL-903297,7,F
ALL-903303,10,F
ALL-903310,8,F
ALL-903327,9,F
ALL-903334,2,F
ALL-903341,2,F
ALL-903358,1,F
ALL-903372,5,F
ALL-903402,0,F
ALL-903419,10,F
ALL-903426,0,F
ALL-903433,1,F
ALL-903440,4,F
ALL-903457,5,F
ALL-903471,4,F
ALL-903488,2,F
ALL-903518,7,F
ALL-903525,5,F
ALL-903563,0,F
ALL-903570,0,F
ALL-903587,2,F
ALL-903594,2,F
ALL-903600,4,F
ALL-903617,3,F
ALL-903624,1,F
ALL-903631,1,F
ALL-903648,4,F
ALL-903662,3,F
ALL-903686,0,F
ALL-903693,0,F
ALL-903709,0,F
ALL-903716,10,F
ALL-903723,0,F
ALL-903730,4,F
ALL-903808,9,F
ALL-903815,5,F
ALL-903822,3,F
ALL-903839,2,F
ALL-903846,4,F
ALL-903853,5,F
ALL-903860,2,F
ALL-903877,3,F
ALL-903884,4,F
ALL-903891,5,F
ALL-903907,5,F
ALL-903914,3,F
ALL-903921,2,F
ALL-903938,3,F
ALL-903945,5,F
ALL-903952,0,T
ALL-903969,0,T
ALL-903976,0,T
ALL-903983,0,T
ALL-903990,2,T
ALL-904003,1,T
ALL-904010,0,T
ALL-904027,0,T
ALL-904034,2,T
ALL-904041,3,T
ALL-904058,5,T
ALL-904065,2,T
ALL-904072,13,T
ALL-904089,0,T
ALL-904096,0,T
ALL-904102,2,T
ALL-904119,0,T
ALL-904126,0,T
ALL-904133,0,T
ALL-904140,2,T
ALL-904157,0,T
ALL-904164,0,T
ALL-904171,4,T
ALL-904188,0,T
ALL-904195,0,T
ALL-904201,0,T
ALL-904218,0,T
ALL-904225,0,T
ALL-904232,0,T
ALL-904249,0,T
ALL-904256,1,T
ALL-904263,0,T
ALL-904270,0,T
ALL-904287,0,T
ALL-904294,0,T
ALL-904300,0,T
ALL-904317,0,T
ALL-904324,0,T
ALL-904430,0,F
ALL-904447,9,F
ALL-904454,0,F
ALL-904461,3,F
ALL-904478,6,F
ALL-904485,1,F
ALL-904492,2,F
ALL-904508,10,F
ALL-904515,5,F
ALL-904522,0,F
ALL-904539,6,F
ALL-904546,4,F
ALL-904584,23,F
ALL-904591,15,F
ALL-904607,14,F
ALL-904683,2,F
ALL-904690,4,F
ALL-904706,0,F
ALL-904737,4,F
ALL-904843,0,F
ANDRO-988010,0,T
ANEROS-001096,8,F
ANEROS-001126,0,T
ANEROS-001270,0,T
ANEROS-001287,0,T
ANEROS-001317,8,F
ANEROS-001393,0,F
ANEROS-001409,0,T
ANEROS-001416,5,F
ANEROS-001447,0,F
ANEROS-001454,0,T
ANEROS-001461,2,F
ANEROS-001478,45,F
ANEROS-001485,0,F
ANEROS-001492,6,F
ANEROS-001508,0,T
ANEROS-001515,4,F
ANEROS-001546,0,T
ANEROS-001553,2,F
ANEROS-001577,11,F
ANEROS-001638,4,F
ANEROS-001973,0,T
ANEROS-001980,0,T
ANEROS-001997,0,F
ART-BLACK,0,T
ASTRO-010076,114,F
ASTRO-010106,25,F
ASTRO-010533,0,F
ASTRO-010823,30,T
ASTRO-010915,0,T
ASTRO-010939,0,T
AW-832869,0,T
AW-832883,0,T
AW-832890,0,T
AW-851198,0,T
AW-851204,0,T
AW-851211,0,T
AW-859200,0,T
AW-890098,0,T
AW-890104,0,T
AW-890111,0,T
AW-893174,0,T
AW-893198,0,T
AW-909585,0,T
AW-909592,0,T
AW-909608,0,T
B-097156,0,T
B-097163,0,T
B-098115,11,F
B-098160,15,F
B-099112,4,F
B-099150,8,F
B-099167,0,T
B-099259,0,T
B-117992,0,T
B-502186,0,T
B-521491,25,F
B-521507,16,T
B-997166,0,T
BACI-026434,0,T
BACI-026441,0,T
BACI-026625,0,T
BACI-026649,0,T
BACI-026670,0,T
BACI-026731,0,T
BACI-026786,0,T
BACI-027097,0,T
BACI-027103,0,T
BACI-027110,0,T
BACI-027158,0,T
BACI-027165,0,T
BACI-027172,0,T
BACI-027219,0,T
BACI-027226,0,T
BACI-027257,0,T
BACI-027486,0,T
BACI-027516,0,T
BACI-027714,0,T
BACI-027738,0,T
BACI-027769,0,T
BACI-040270,0,T
BACI-042908,0,T
BACI-043035,0,T
BACI-043189,0,T
BACI-044384,0,T
BACI-046142,0,T
BACI-050439,0,T
BACI-050446,0,T
BACI-050453,0,T
BACI-050521,0,T
BACI-050538,0,T
BACI-050545,0,T
BACI-050583,0,T
BACI-050590,4,T
BACI-050606,0,T
BACI-050613,0,T
BACI-050620,0,T
BACI-050637,0,T
BACI-050675,0,T
BACI-050682,0,T
BACI-050750,0,T
BACI-050767,0,T
BACI-050774,0,T
BACI-050781,0,T
BACI-050798,0,T
BACI-050811,0,T
BACI-050873,0,T
BACI-050880,0,T
BACI-050897,0,T
BACI-050934,0,T
BACI-050941,0,T
BACI-050958,0,T
BACI-051009,0,T
BACI-051016,0,T
BACI-051023,0,T
BACI-051290,0,T
BACI-051450,0,T
BACI-051474,0,T
BACI-051887,0,T
BACI-052662,0,T
BACI-052815,0,T
BACI-052839,0,T
BACI-052884,0,T
BACI-052891,0,T
BACI-052914,0,T
BACI-052921,0,T
BACI-053003,0,T
BACI-122174,0,T
BACI-122181,0,T
BACI-122402,4,F
BACI-122419,0,T
BACI-122440,0,F
BACI-122525,0,T
BACI-122532,0,T
BACI-122549,3,F
BACI-122556,0,T
BACI-122563,0,T
BACI-122785,0,T
BACI-122792,0,T
BACI-122891,24,F
BACI-122914,0,T
BACI-123171,0,F
BACI-123188,14,F
BACI-123232,0,T
BACI-123324,0,F
BACI-123355,48,F
BACI-123393,0,F
BACI-123409,0,F
BACI-123485,0,T
BACI-123508,0,F
BACI-123560,0,F
BACI-123607,0,T
BACI-123645,0,T
BACI-123713,0,T
BACI-123720,0,T
BACI-123737,0,T
BACI-123744,0,T
BACI-123782,0,T
BACI-123874,0,T
BACI-123881,0,T
BACI-123973,0,T
BACI-123980,0,T
BACI-124062,0,T
BACI-124222,0,T
BACI-124260,0,F
BACI-124369,0,T
BACI-124680,0,F
BACI-124697,3,F
BACI-124758,0,T
BACI-124765,0,T
BACI-124819,0,T
BACI-124826,0,T
BACI-125007,0,T
BACI-125199,0,T
BACI-141199,0,T
BACI-141236,24,F
BACI-141267,0,T
BACI-141274,24,F
BACI-141298,17,F
BACI-141311,11,F
BACI-141328,0,F
BACI-141366,23,F
BACI-141465,2,F
BACI-141489,0,T
BACI-141502,4,F
BACI-141526,0,T
BACI-142356,0,T
BACI-142387,0,T
BACI-142394,12,F
BACI-142400,12,F
BACI-142431,0,T
BACI-142448,0,T
BACI-142462,12,F
BACI-142479,0,T
BACI-142509,0,T
BACI-142547,0,T
BACI-142554,0,T
BACI-142585,20,F
BACI-142592,12,F
BACI-142608,24,F
BACI-142660,0,T
BACI-142677,0,T
BACI-142684,0,T
BACI-142691,0,T
BACI-142707,0,T
BACI-142714,0,T
BACI-142844,12,F
BACI-142851,3,F
BACI-142868,1,F
BACI-142967,12,F
BACI-142974,7,F
BACI-142981,1,F
BACI-142998,12,F
BACI-143001,6,F
BACI-143018,2,F
BACI-143025,0,T
BACI-143032,0,T
BACI-143049,0,T
BACI-143087,24,F
BACI-143094,0,T
BACI-143100,24,F
BACI-143117,5,F
BACI-143124,0,F
BACI-143131,24,F
BACI-143179,0,T
BACI-143186,0,T
BACI-143193,0,T
BACI-143209,0,T
BACI-143216,0,T
BACI-143223,0,T
BACI-143230,0,T
BACI-143247,0,T
BACI-143254,0,T
BACI-143261,0,T
BACI-143278,2,F
BACI-143285,0,T
BACI-143353,0,T
BACI-143360,0,T
BACI-143377,0,T
BACI-143384,0,T
BACI-143391,0,T
BACI-143407,1,F
BACI-143506,0,T
BACI-143513,23,F
BACI-143520,0,T
BACI-143568,0,T
BACI-143575,0,T
BACI-143582,0,T
BACI-143599,0,T
BACI-143605,0,T
BACI-143612,0,T
BACI-143711,0,T
BACI-143728,0,T
BACI-143735,0,T
BACI-143803,0,T
BACI-143810,24,F
BACI-143827,0,T
BACI-143865,0,T
BACI-143872,0,T
BACI-143889,0,T
BACI-143896,18,F
BACI-143902,1,F
BACI-143919,6,F
BACI-143957,0,T
BACI-143964,0,T
BACI-143971,0,T
BACI-143988,0,T
BACI-143995,0,T
BACI-144008,0,T
BACI-144251,0,T
BACI-144268,0,T
BACI-144275,0,T
BACI-144466,0,T
BACI-144473,10,F
BACI-144480,26,F
BACI-144497,0,T
BACI-144503,2,F
BACI-144510,0,T
BACI-144527,0,T
BACI-144534,0,T
BACI-144541,0,T
BACI-144558,0,T
BACI-144565,24,F
BACI-144572,0,T
BACI-144619,0,F
BACI-144626,11,F
BACI-144633,0,F
BACI-144640,0,T
BACI-144657,17,F
BACI-144664,0,T
BACI-144701,0,T
BACI-144718,17,F
BACI-144725,0,T
BACI-144732,5,F
BACI-144749,12,F
BACI-144756,17,F
BACI-144985,0,T
BACI-145036,0,T
BACI-145463,0,T
BACI-145470,8,F
BACI-145517,0,T
BACI-164754,3,F
BACI-164761,12,F
BACI-164778,7,F
BACI-164785,11,F
BACI-164792,12,F
BACI-164808,12,F
BACI-164815,4,F
BACI-164822,6,F
BACI-164839,5,F
BACI-164938,12,F
BACI-164945,12,F
BACI-164952,5,F
BACI-164969,5,F
BACI-164976,7,F
BACI-164983,9,F
BACI-164990,2,F
BACI-165003,6,F
BACI-165010,12,F
BACI-165027,11,F
BACI-165034,11,F
BACI-165041,11,F
BACI-165058,11,F
BACI-165065,12,F
BACI-165072,10,F
BACI-165089,9,F
BACI-165096,6,F
BACI-165102,6,F
BACI-165270,6,F
BACI-165287,12,F
BACI-165294,5,F
BACI-165614,10,F
BACI-165621,11,F
BACI-165638,8,F
BACI-165973,7,T
BACI-165980,0,T
BACI-165997,5,F
BACI-166000,9,T
BACI-166017,5,T
BACI-166024,0,T
BACI-166031,1,T
BACI-166048,6,T
BACI-166055,6,T
BACI-166062,2,T
BACI-166079,1,T
BACI-166086,0,T
BACI-166093,4,T
BACI-166109,2,T
BACI-166116,8,T
BACI-166123,10,T
BACI-166130,2,T
BACI-166147,0,T
BACI-166154,3,T
BACI-166161,13,F
BACI-166178,12,F
BACI-166185,6,F
BACI-166192,6,F
BACI-166208,21,F
BACI-166215,7,F
BACI-166222,7,F
BACI-166239,10,F
BACI-166246,6,F
BACI-166253,7,F
BACI-166260,9,F
BACI-166277,11,F
BACI-166284,2,T
BACI-166291,8,F
BACI-166307,4,F
BACI-166314,12,F
BACI-166321,12,F
BACI-166338,7,F
BACI-166345,8,F
BACI-166352,6,F
BACI-166369,8,F
BACI-166390,2,F
BACI-166406,5,F
BACI-166413,8,F
BACI-166437,13,F
BACI-167052,0,T
BACI-167618,5,T
BACI-167625,8,T
BACI-167632,0,T
BACI-167649,6,T
BACI-167656,1,T
BACI-167663,3,T
BACI-167670,3,T
BACI-167687,5,T
BACI-167694,2,T
BACI-167700,1,T
BACI-167717,0,T
BACI-167724,0,T
BACI-171035,3,T
BACI-171059,0,T
BACI-171073,2,F
BACI-171097,2,T
BACI-171110,12,F
BACI-171134,4,T
BACI-171158,0,T
BACI-171882,13,F
BACI-171899,6,F
BACI-171905,3,F
BACI-171912,0,T
BACI-176405,0,F
BACI-176412,12,F
BACI-176429,4,F
BACI-176450,13,F
BACI-176467,4,F
BACI-176474,24,F
BACI-176481,2,F
BACI-176498,3,F
BACI-176504,5,F
BACI-176511,12,F
BACI-176528,20,F
BACI-176535,24,F
BACI-176542,0,F
BACI-176559,2,F
BACI-176566,11,F
BACI-176573,56,F
BACI-176580,8,F
BACI-176597,10,F
BACI-176603,12,F
BACI-176610,3,F
BACI-176627,24,F
BATH-200000,0,F
BATH-200031,0,T
BATH-200055,0,F
BATH-200123,0,T
BATH-200604,0,T
BATH-200611,20,F
BATH-200628,0,T
BATH-203001,20,F
BATH-203018,0,F
BATH-203025,0,T
BATH-203209,6,F
BATH-203247,4,F
BATH-203285,0,T
BATH-203803,12,F
BATH-203896,9,F
BATH-204091,0,T
BATH-204145,1,F
BATH-204800,1,T
BC-005225,0,T
BC-005232,0,T
BC-005287,0,T
BC-005324,0,T
BC-005331,0,T
BC-005379,0,T
BC-005416,0,T
BC-005423,0,T
BC-005439,0,T
BC-005560,0,T
BC-005676,0,T
BC-005683,0,T
BC-005799,0,T
BC-005805,0,T
BC-005812,0,T
BC-005898,0,T
BC-005959,0,T
BC-006116,0,T
BC-006161,0,T
BC-006185,0,T
BC-006208,0,T
BC-006215,0,T
BC-006222,0,T
BC-006239,0,T
BC-006246,0,T
BG-338799,12,F
BG-338805,6,T
BG-341607,0,F
BH-700306,11,F
BH-700313,1,F
BH-700320,1,F
BH-700337,6,F
BH-700351,0,F
BH-700368,0,F
BH-700375,4,F
BH-700382,12,F
BH-700399,6,F
BH-700405,1,F
BH-700412,1,F
BH-700542,1,F
BH-700559,1,F
BH-700566,6,F
BH-700573,2,F
BH-700580,1,F
BH-700597,1,F
BH-700665,1,F
BH-700672,12,F
BH-700689,1,F
BH-700696,2,F
BH-700702,1,F
BH-700719,12,F
BH-700788,1,F
BH-700795,1,F
BH-700801,2,F
BH-700818,2,F
BH-700825,12,F
BH-700832,1,F
BH-700849,6,F
BH-700856,6,F
BH-700863,12,F
BH-700870,6,F
BH-700962,6,F
BH-700979,3,F
BH-700986,2,F
BH-700993,6,F
BH-701006,5,F
BH-701013,1,F
BH-701020,1,F
BH-701037,1,F
BH-701044,6,F
BH-701051,5,F
BH-701686,5,F
BH-701709,4,F
BH-701730,4,F
BH-701792,1,F
BH-701938,1,F
BH-701945,1,F
BH-701952,7,F
BH-701990,5,F
BH-702003,2,F
BH-702010,3,F
BH-702027,5,F
BH-702034,12,F
BH-702041,1,F
BH-702058,1,F
BH-702065,3,F
BH-702072,2,F
BH-702089,6,F
BH-702096,6,F
BH-702102,1,F
BH-702157,5,F
BH-702539,12,F
BH-702546,6,F
BH-702553,1,F
BH-702560,1,F
BH-702577,9,F
BH-702584,12,F
BH-702591,6,F
BH-702607,12,F
BH-702614,3,F
BH-702621,0,F
BH-702638,6,F
BH-702645,7,F
BH-703079,10,F
BH-703086,4,F
BH-703093,5,F
BH-703109,12,F
BH-703130,6,F
BH-703147,1,F
BH-703154,3,F
BH-703161,10,F
BH-703178,5,F
BH-703185,1,F
BH-703253,2,F
BH-703260,1,F
BH-703277,2,F
BH-703284,12,F
BH-703291,4,F
BH-703307,11,F
BH-703314,1,F
BH-703321,6,F
BH-703338,1,F
BH-703345,1,F
BH-703352,11,F
BH-703369,1,F
BIZ-331618,28,F
BIZ-331625,8,F
BIZ-866992,0,T
BIZ-867005,0,F
BIZ-867012,33,T
BLE-748733,4,F
BLO-530012,0,T
BLO-530029,0,T
BLO-530043,19,F
BLO-530111,0,T
BLO-530128,0,T
BLO-530142,0,T
BLO-530203,0,T
BLO-530210,0,T
BLO-530319,0,T
BRT-100018,5,F
BRT-100025,16,F
BRT-100032,18,F
BRT-100049,0,F
BSW-000076,0,T
BSW-000113,21,F
BSW-000151,13,F
BSW-125539,0,T
BSW-125553,0,T
BSW-125607,0,T
BSW-127380,51,F
BSW-500040,0,T
BSW-500057,0,T
BSW-500064,0,T
BSW-500071,0,T
BSW-500095,7,F
BSW-500101,0,T
BSW-500125,0,T
BSW-500132,18,F
BSW-500149,0,T
BSW-500156,0,T
BSW-500170,0,T
BSW-500217,0,T
BSW-500224,0,T
BSW-500231,0,T
BSW-500248,0,T
BSW-500255,0,T
BSW-500262,0,T
BSW-500279,0,T
BSW-500286,0,T
BSW-500293,0,T
BSW-500309,28,F
BSW-500316,0,T
BSW-500323,0,T
BSW-500330,33,F
BSW-500347,0,T
BSW-500354,0,T
BSW-500361,0,T
BSW-500378,0,T
BSW-500385,0,T
BSW-500392,0,T
BSW-500408,22,F
BSW-500415,0,T
BSW-500422,0,T
BSW-500439,0,T
BSW-500446,0,T
BSW-500453,5,F
BSW-500460,0,T
BSW-500477,0,T
BSW-500484,0,T
BSW-500491,0,T
BSW-500507,0,T
BSW-500514,0,T
BSW-500521,0,T
BSW-500538,0,T
BSW-500545,0,T
BSW-500552,0,T
BSW-500569,0,T
BSW-500576,0,T
BSW-500583,0,T
BSW-500590,0,T
BSW-500606,0,T
BSW-500613,7,F
BSW-500620,0,T
BSW-500637,0,T
BSW-500644,0,T
BSW-500651,0,T
BSW-500668,0,T
BSW-500675,28,F
BSW-500682,33,T
BSW-500699,0,T
BSW-500705,18,F
BSW-500712,20,F
BSW-500729,14,F
BSW-500736,6,F
BSW-500743,0,F
BSW-500750,15,F
BSW-500774,11,F
BSW-500781,0,F
BSW-500798,11,F
BSW-500811,7,F
BSW-990087,0,T
BSW-990094,0,T
BSW-990100,0,T
BSW-990117,0,T
BSW-990124,0,T
BSW-990131,0,T
BSW-990179,0,T
BTT-100501,0,T
BTT-100525,0,T
BTT-100815,0,T
BTT-100822,0,T
BTT-101133,0,T
BTT-101157,0,T
BTT-10117,0,T
BTT-101317,0,T
BTT-101324,0,T
BTT-101331,0,T
BTT-10137,0,T
BTT-101393,0,T
BTT-101409,0,T
BTT-101416,0,T
BTT-101423,0,T
BTT-101430,0,T
BTT-101447,0,T
BTT-101454,0,T
BTT-101485,0,T
BTT-101492,0,T
BTT-10160,0,T
BTT-101843,0,T
BTT-101850,0,T
BTT-101881,0,T
BTT-102208,0,T
BTT-102413,0,T
BTT-104011,0,T
BTT-105018,0,T
BTT-105025,0,T
BTT-105209,0,T
BTT-105216,0,T
BTT-105223,0,T
BTT-105308,0,T
BTT-105322,0,T
BTT-105506,0,T
BTT-108026,0,T
BTT-108057,0,T
BTT-108064,0,T
BTT-108071,0,T
BTT-108200,0,T
BTT-108217,0,T
BTT-108224,0,T
BTT-108354,0,T
BTT-108361,0,T
BTT-108415,0,T
BTT-108422,0,T
BTT-109085,0,T
BTT-10909,0,T
BTT-109139,0,T
BTT-109160,0,T
BTT-800005,0,T
BTT-800050,0,T
BTT-900019,0,T
BU-919991,0,F
BU-920003,0,F
BU-920034,0,T
BU-920041,0,T
BU-920058,3,T
BU-920065,14,T
BV-177846,1,F
BW-000548,1,F
BW-000654,12,F
BW-972407,9,F
BW-972414,0,T
BW-972421,0,T
BW-972438,112,F
BW-973336,3,F
BW-973343,0,T
BW-973350,0,T
BW-973794,0,T
BW-974654,48,F
BW-974661,0,F
BW-974678,0,F
BW-974692,8,F
BW-974708,0,T
BW-974890,35,F
BW-974906,14,F
BW-975224,0,T
BW-975231,0,T
BW-975552,0,T
BW-975569,0,T
BW-975576,0,T
BW-975583,0,T
BW-975606,12,F
BW-975644,4,F
BW-975651,18,F
BW-977594,3,F
BW-977600,24,F
BW-977617,0,T
BW-977624,0,T
BW-977679,0,T
BW-977686,0,F
BW-978652,12,F
BW-978669,10,F
BW-978676,8,F
BW-978683,10,F
BW-978706,5,F
BW-978751,20,F
