sku,name,image,price,description,,,,,,,,,,,
484,Poison Ivy,484,35.5,Enjoy your prime with geometric drop earrings that will grab everyone+//0Aw//9AI0-s attention.,,,,,,,,,,,
496,Sparkly Saber,496,33,+ACI-Rawr+ACE- Bring out your wild side in flirty red saber tooth drop earrings. Topped with black and white crystals, this pair of earrings come with plenty of sparkle.+ACI-,,,,,,,,,,,
510,Sunday Morning,510,18,Complete your brunch outfit with mixed stones and colors in this adorable set.,,,,,,,,,,,
517,the Sun+AC0-Floral,517,15,Complete your everyday style with this fashion+AC0-forward mix of pearl+AC0-like stones and yellow gold accents.,,,,,,,,,,,
524,the Infinity,524,25,Sparkle your way through the spotlight with a twist of geometric shapes and a pop of royal blue.,,,,,,,,,,,
534,First Date,534,N/A,+ACI-Crafted with the independent woman in mind, these simple drop earrings are the ones to wear on that first date.+ACI-,,,,,,,,,,,
547,the Diana,547,43.5,+ACI-Royal blue pear shaped stone is surrounded by intricate little crystals, making this set an eye+AC0-catching classic.+ACI-,,,,,,,,,,,
555,Holiday Blues,555,35.5,Spread some holiday cheer in gorgeous blue pear shaped stone wrapped in sparkly black and white crystals.,,,,,,,,,,,
564,No Regrets,564,14,+ACI-Boho inspired jewels create this show+AC0-stopping set of earrings, making you the center of attention in every room.+ACI-,,,,,,,,,,,
578,Eye of the Liger,578,18.25,Have all eyes on you with this set of earrings featuring modern edge mixed with classic design.,,,,,,,,,,,
588,Emerald Chateau,588,14,+ACI-Have everyone doing a double take wearing these unique stud earrings. Paired with bold stones in a yellow setting, get comfortable being the center of attention.+ACI-,,,,,,,,,,,
597,Dancing Diplomat,597,14,Wince the night away in a perfect mix of bold colored stones and design in this stunning pair of stud earrings.,,,,,,,,,,,
600,Venice Kiss,600,15.5,+ACI-Express your creativity in bright colors and mixed stones in this bold silhouette, pair this with your favorite maxi dress for your next date outfit.+ACI-,,,,,,,,,,,
618,Pineapple Under the Sea,618,23,+ACI-With pearl+AC0-like stone and vivid blue colors, these simple posts are guaranteed to be your next favorite accessory.+ACI-,,,,,,,,,,,
623,Imperial Kiss,623,27,Transform casual attire into your royal evening wear with these romantic drop earrings.,,,,,,,,,,,
635,Midnight Delight,635,18,Vintage inspired design adds the perfect touch to any modern outfit+AC0- whether it+//0Aw//9AI0-s lunch time or a night out with the ladies,,,,,,,,,,,
654,Lady Luck,654,35.5,Look no further for a burst of classic beauty+AC0- bright rhinestones glimmer against yellow gold metal.,,,,,,,,,,,
662,Your Highness,662,25,+ACI-Accented with brushed yellow metal and subtle floral design, these drop earrings offer a sense of glamour to any outfit.+ACI-,,,,,,,,,,,
673,the Ancestry Hoop,673,15,Earth+AC0-tone colored cubes line up against white metal hoops. These hoops are the perfect compliment to an outfit in the autumn months.,,,,,,,,,,,
683,Bitten Mystery,683,20,+ACI-Featuring two blue accented fangs, the bohemian princess in you insists on wearing these during festival season.+ACI-,,,,,,,,,,,
828,Sweet Surprise,828,27,+ACI-Add an element of elegance to your work outfit. Set in yellow metal, vivid colors of (blue/pink) bring romance to a simple accessory.+ACI-,,,,,,,,,,,
841,Caribbean Bliss,841,27,Aqua blue stone is set in yellow gold that brings a pleasing element to your next ensemble.,,,,,,,,,,,
854,Genie+//0Aw//9AI0-s Wish,854,30,Smokey white and blue stone add a gentle essence to your regular date style.,,,,,,,,,,,
865,Green Goddess,865,30,Floral studs bring modern to a classic pear shaped design. This mix of classic and modern design takes a simple outfit to the next level.,,,,,,,,,,,
876,Royal Sunshine,876,28,Introduce your jewelry box to your next favorite pair of earrings. The shiny array of yellow stone dazzles in every angle.,,,,,,,,,,,
886,Green Eclipse,886,20,+ACI-Round emerald green stone dazzles in yellow gold setting, making these studs a must have for any high fashion occasion+ACI-,,,,,,,,,,,
898,the Raven,898,15,Infuse your regular look with charming amethyst. Fun tassels add a touch of youth to a mature stone,,,,,,,,,,,
910,Gypsy Favorite,910,15,+ACI-Retro chic style has taken a level up with this fun+AC0-tassel necklace, perfect for the gypsy within.+ACI-,,,,,,,,,,,
927,Seductive Nostalgia,927,20,Slip on this sweet chain to any t+AC0-shirt and have a chic outfit complete. Featuring a faux tooth highlighted in purple accents,,,,,,,,,,,
947,Rustic Royalty,947,17,+ACI-A delicate yellow chain details subtle beaded designs throughout, featuring a luxury pendant in the center. This necklace transforms regular into royalty with no effort involved.+ACI-,,,,,,,,,,,
981,Blushing Estate,981,20,A modern twist to luxury estate jewelry brings sophistication to the everyday world. Wear it with a plain t+AC0-shirt or pair it with your favorite little black dress,,,,,,,,,,,
8955,Red Lip,8955,16,Always have your favorite red lipstick +AC0- even on the hectic days you forget it. Adorable lipstick silhouette studs turn any outfit on trend and bold in color+ACE-,,,,,,,,,,,
8903,Blue Panther,8903,35,+ACI-Keep the feline trend going strong with our Blue Panther studs, making you the queen of the jungle.+ACI-,,,,,,,,,,,
8800,Eye See No Evil,8800,15,Let negative energy pass you by in these dazzling stud earrings+ACE- Adorable eye shaped studs are enhanced with an elegant faux pearl.,,,,,,,,,,,
8895,Evening Out,8895,60,+ACI-Dazzle your way through the evening in these sparkly drop earrings+ACE- Bold emerald green stone is surrounded by dozens of crystals, making these earrings shine like no other.+ACI-,,,,,,,,,,,
8778,Roaring Elton,8778,25,Bring back the inspiration of the 1920+//0Aw//9AJU-s with this casual necklace+ACE- A thick tassel is complimented with multi colored beads adds the perfect amount of roar.,,,,,,,,,,,
7686,Tribal Tease,7686,20,+ACI-Behold+AC0- the perfect necklace for any bohemian princess. Featuring fun tassels and bold geometric beads, this necklace won+//0Aw//9AJU-t let you down.+ACI-,,,,,,,,,,,
8824,Just Hoops,8824,18,+ACI-Take the traditional hoop to the next level with stud hoops+ACE- Gold plated metal acts as the stud, while a larger hoop is attached for that extra style you were looking for.+ACI-,,,,,,,,,,,
8616,the Black Pearl,8616,15,Who said black pearls can+//0Aw//9AJU-t be sophisticated? Add a touch of elegance to your look with our extra length necklace that features black faux beads and a detailed tassel.,,,,,,,,,,,
7678,the Flapper,7678,15,This necklace specializes in loud fun+ACE- Charm your outfit with romantic faux pearls and an elongated tassel.,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,56. DSC+AF8-0886 (Green Eclipse),,,,,,,,,,,,
,,,+ACI-Round emerald green stone dazzles in yellow gold setting, making these studs a must have for any high fashion occasion.+ACI-,,,,,,,,,,,,
,,,12 us,,,,,,,,,,,,
,,,20,,,,,,,,,,,,
